index,xt_p,wt_p
0,3.202,0.01177916424959549
1,3.122,0.0548278726948815
2,2.81,0.06973042105418072
3,2.94,0.1454118063445417
4,2.81,0.16031435470384092
5,3.128,0.20025251355881185
6,2.93,0.2711710772977384
7,2.82,0.2891020982885419
8,3.0,0.3797091668232739
9,3.042,0.46266698211964435
10,2.9859999999999998,0.5523904381558129
11,2.9779999999999998,0.6408311344611343
12,3.25,0.6448121312171563
13,2.9699999999999998,0.7314322605726391
14,3.1420000000000003,0.7644925295750147
15,2.864,0.8004282654678287
16,2.998,0.8910172144008743
17,2.856,0.9231453527148943
18,3.106,0.9748078552626255
19,2.84,0.9999999999999999
